ID;ESPACIOS CULTURALES;Museo de Antioquia;Biblioteca Pública Piloto;Jardín Botánico;Parque Explora;Planetario
02FN10;Biblioteca Pública Piloto;1;1;1;1;1
02FN10;Jardín Botánico;1;1;1;1;1
02FN10;Parque Explora;1;1;1;1;1
02FN10;Planetario;1;1;1;1;1
02FN11;Museo de Antioquia;1;7;7;5;5
02FN11;Biblioteca Pública Piloto;0,142857143;1;5;1;1
02FN11;Jardín Botánico;0,142857143;0,2;1;0,2;0,333333333
02FN11;Parque Explora;0,2;1;5;1;1
02FN11;Planetario;0,2;1;3;1;1
02IN12;Museo de Antioquia;1;0,2;5;3;3
02IN12;Biblioteca Pública Piloto;5;1;7;7;7
02IN12;Jardín Botánico;0,2;0,142857143;1;1;0,2
02IN12;Parque Explora;0,333333333;0,142857143;1;1;1
02IN12;Planetario;0,333333333;0,142857143;5;1;1
02IE13;Museo de Antioquia;1;1;1;1;1
02IE13;Biblioteca Pública Piloto;1;1;1;1;1
02IE13;Jardín Botánico;1;1;1;1;1
02IE13;Parque Explora;1;1;1;1;1
02IE13;Planetario;1;1;1;1;1
02IE14;Museo de Antioquia;1;1;1;1;1
02IE14;Biblioteca Pública Piloto;1;1;1;1;1
02IE14;Jardín Botánico;1;1;1;1;1
02IE14;Parque Explora;1;1;1;1;1
02IE14;Planetario;1;1;1;1;1
02IN15;Museo de Antioquia;1;1;5;1;1
02IN15;Biblioteca Pública Piloto;1;1;5;1;1
02IN15;Jardín Botánico;0,2;0,2;1;1;1
02IN15;Parque Explora;1;1;1;1;1
02IN15;Planetario;1;1;1;1;1
02IN16;Museo de Antioquia;1;7;0,111111111;7;0,111111111
02IN16;Biblioteca Pública Piloto;0,142857143;1;0,142857143;0,142857143;0,111111111
02IN16;Jardín Botánico;9;7;1;9;1
02IN16;Parque Explora;0,142857143;7;0,111111111;1;0,111111111
02IN16;Planetario;9;9;1;9;1
02IN17;Museo de Antioquia;1;1;3;3;3
02IN17;Biblioteca Pública Piloto;1;1;5;1;3
02IN17;Jardín Botánico;0,333333333;0,2;1;0,333333333;0,333333333
02IN17;Parque Explora;0,333333333;1;3;1;1
02IN17;Planetario;0,333333333;0,333333333;3;1;1
02IN18;Museo de Antioquia;1;0,2;0,333333333;0,142857143;0,2
02IN18;Biblioteca Pública Piloto;5;1;0,2;0,142857143;0,2
02IN18;Jardín Botánico;3;5;1;0,142857143;0,142857143
02IN18;Parque Explora;7;7;7;1;5
02IN18;Planetario;5;5;7;0,2;1
02FN19;Museo de Antioquia;1;1;5;0,142857143;0,142857143
02FN19;Biblioteca Pública Piloto;1;1;5;5;5
02FN19;Jardín Botánico;0,2;0,2;1;0,333333333;0,2
02FN19;Parque Explora;7;0,2;3;1;1
02FN19;Planetario;7;0,2;5;1;1
02IN20;Museo de Antioquia;1;1;7;7;9
02IN20;Biblioteca Pública Piloto;1;1;7;9;1
02IN20;Jardín Botánico;0,142857143;0,142857143;1;1;1
02IN20;Parque Explora;0,142857143;0,111111111;1;1;1
02IN20;Planetario;0,111111111;1;1;1;1
02FN21;Museo de Antioquia;1;0,333333333;5;3;1
02FN21;Biblioteca Pública Piloto;3;1;3;1;1
02FN21;Jardín Botánico;0,2;0,333333333;1;0,2;0,2
02FN21;Parque Explora;0,333333333;1;5;1;1
02FN21;Planetario;1;1;5;1;1
02FN22;Museo de Antioquia;1;1;9;3;3
02FN22;Biblioteca Pública Piloto;1;1;9;5;5
02FN22;Jardín Botánico;0,111111111;0,111111111;1;0,333333333;1
02FN22;Parque Explora;0,333333333;0,2;3;1;1
02FN22;Planetario;0,333333333;0,2;1;1;1
02FN23;Museo de Antioquia;1;1;1;1;1
02FN23;Biblioteca Pública Piloto;1;1;1;1;1
02FN23;Jardín Botánico;1;1;1;1;1
02FN23;Parque Explora;1;1;1;1;1
02FN23;Planetario;1;1;1;1;1
02FN24;Museo de Antioquia;1;1;1;1;1
02FN24;Biblioteca Pública Piloto;1;1;1;1;1
02FN24;Jardín Botánico;1;1;1;1;1
02FN24;Parque Explora;1;1;1;1;1
02FN24;Planetario;1;1;1;1;1
03FN26;Museo de Antioquia;1;3;5;1;2
03FN26;Biblioteca Pública Piloto;0,333333333;1;1;0,2;0,333333333
03FN26;Jardín Botánico;0,2;1;1;0,142857143;0,2
03FN26;Parque Explora;1;5;7;1;1
03FN26;Planetario;0,5;3;5;1;1
03FN01;Museo de Antioquia;1;1;1;1;1
03FN01;Biblioteca Pública Piloto;1;1;1;1;1
03FN01;Jardín Botánico;1;1;1;1;1
03FN01;Parque Explora;1;1;1;1;1
03FN01;Planetario;1;1;1;1;1
03FN03;Museo de Antioquia;1;7;5;0,142857143;1
03FN03;Biblioteca Pública Piloto;0,142857143;1;0,142857143;0,142857143;8
03FN03;Jardín Botánico;0,2;7;1;0,142857143;8
03FN03;Parque Explora;7;7;7;1;7
03FN03;Planetario;1;0,125;0,125;0,142857143;1
03FN04;Museo de Antioquia;1;8;6;0,142857143;6
03FN04;Biblioteca Pública Piloto;0,125;1;0,142857143;0,125;0,2
03FN04;Jardín Botánico;0,166666667;7;1;0,142857143;7
03FN04;Parque Explora;7;8;7;1;8
03FN04;Planetario;0,166666667;5;0,142857143;0,125;1
03FN05;Museo de Antioquia;1;0,2;3;0,142857143;0,142857143
03FN05;Biblioteca Pública Piloto;5;1;3;5;3
03FN05;Jardín Botánico;0,333333333;0,333333333;1;0,2;3
03FN05;Parque Explora;7;0,2;5;1;3
03FN05;Planetario;7;0,333333333;0,333333333;0,333333333;1
03FN06;Museo de Antioquia;1;0,125;0,142857143;7;0,125
03FN06;Biblioteca Pública Piloto;8;1;0,25;1;0,142857143
03FN06;Jardín Botánico;7;4;1;7;0,142857143
03FN06;Parque Explora;0,142857143;7;1;1;0,142857143
03FN06;Planetario;8;7;7;7;1
03FN07;Museo de Antioquia;1;9;0,111111111;0,111111111;0,111111111
03FN07;Biblioteca Pública Piloto;0,111111111;1;0,111111111;0,111111111;0,111111111
03FN07;Jardín Botánico;9;9;1;0,142857143;8
03FN07;Parque Explora;9;9;7;1;6
03FN07;Planetario;9;9;0,125;0,166666667;1
03FN08;Museo de Antioquia;1;0,111111111;0,125;0,125;0,125
03FN08;Biblioteca Pública Piloto;9;1;7;0,111111111;7
03FN08;Jardín Botánico;8;0,142857143;1;8;8
03FN08;Parque Explora;8;9;0,125;1;8
03FN08;Planetario;8;0,142857143;0,125;0,125;1
03FN09;Museo de Antioquia;1;7;2;4;1
03FN09;Biblioteca Pública Piloto;7;1;0,333333333;0,5;0,333333333
03FN09;Jardín Botánico;0,5;3;1;4;2
03FN09;Parque Explora;0,25;2;0,25;1;0,5
03FN09;Planetario;1;3;0,5;2;1
03IN10;Museo de Antioquia;1;1;1;1;1
03IN10;Biblioteca Pública Piloto;1;1;1;1;1
03IN10;Jardín Botánico;1;1;1;1;1
03IN10;Parque Explora;1;1;1;1;1
03IN10;Planetario;1;1;1;1;1
03IN11;Museo de Antioquia;1;1;1;1;1
03IN11;Biblioteca Pública Piloto;1;1;1;1;1
03IN11;Jardín Botánico;1;1;1;1;1
03IN11;Parque Explora;1;1;1;1;1
03IN11;Planetario;1;1;1;1;1
03IN12;Museo de Antioquia;1;9;0,111111111;1;1
03IN12;Biblioteca Pública Piloto;0,111111111;1;1;2;0,111111111
03IN12;Jardín Botánico;9;1;1;2;2
03IN12;Parque Explora;1;0,5;0,5;1;1
03IN12;Planetario;1;9;0,5;1;1
03IN13;Museo de Antioquia;1;7;0,111111111;1;1
03IN13;Biblioteca Pública Piloto;0,142857143;1;0,142857143;1;1
03IN13;Jardín Botánico;9;7;1;9;9
03IN13;Parque Explora;1;1;0,111111111;1;0,125
03IN13;Planetario;1;1;0,111111111;8;1
03IN14;Museo de Antioquia;1;1;1;1;1
03IN14;Biblioteca Pública Piloto;1;1;1;1;1
03IN14;Jardín Botánico;1;1;1;1;1
03IN14;Parque Explora;1;1;1;1;1
03IN14;Planetario;1;1;1;1;1
03IN15;Museo de Antioquia;1;9;8;7;0,125
03IN15;Biblioteca Pública Piloto;0,111111111;1;0,142857143;0,125;0,166666667
03IN15;Jardín Botánico;0,125;7;1;0,111111111;0,142857143
03IN15;Parque Explora;0,142857143;8;9;1;8
03IN15;Planetario;8;6;7;0,125;1
03IN16;Museo de Antioquia;1;9;0,125;9;6
03IN16;Biblioteca Pública Piloto;0,111111111;1;0,142857143;1;1
03IN16;Jardín Botánico;8;17;1;6;1
03IN16;Parque Explora;0,111111111;1;5;1;0,2
03IN16;Planetario;0,166666667;1;1;5;1
03IN18;Museo de Antioquia;1;9;9;9;9
03IN18;Biblioteca Pública Piloto;0,111111111;1;1;1;1
03IN18;Jardín Botánico;0,111111111;1;1;1;1
03IN18;Parque Explora;0,111111111;1;1;1;9
03IN18;Planetario;0,111111111;1;1;0,111111111;1
03IN19;Museo de Antioquia;1;8;1;1;1
03IN19;Biblioteca Pública Piloto;0,125;1;0,125;0,125;0,111111111
03IN19;Jardín Botánico;1;8;1;1;1
03IN19;Parque Explora;1;8;1;1;1
03IN19;Planetario;1;9;1;1;1
03IN20;Museo de Antioquia;1;1;1;1;1
03IN20;Biblioteca Pública Piloto;1;1;1;1;1
03IN20;Jardín Botánico;1;1;1;1;1
03IN20;Parque Explora;1;1;1;1;1
03IN20;Planetario;1;1;1;1;1
03IN21;Museo de Antioquia;1;1;1;1;1
03IN21;Biblioteca Pública Piloto;1;1;1;1;1
03IN21;Jardín Botánico;1;1;1;1;1
03IN21;Parque Explora;1;1;1;1;1
03IN21;Planetario;1;1;1;1;1
03IN22;Museo de Antioquia;1;0,111111111;0,111111111;0,111111111;0,111111111
03IN22;Biblioteca Pública Piloto;9;1;1;1;1
03IN22;Jardín Botánico;9;1;1;0,111111111;1
03IN22;Parque Explora;9;1;9;1;9
03IN22;Planetario;9;1;1;0,111111111;1
03FN23;Museo de Antioquia;1;1;1;1;1
03FN23;Biblioteca Pública Piloto;1;1;1;1;1
03FN23;Jardín Botánico;1;1;1;1;1
03FN23;Parque Explora;1;1;1;1;1
03FN23;Planetario;1;1;1;1;1
03FN24;Museo de Antioquia;1;6;0,125;0,111111111;0,2
03FN24;Biblioteca Pública Piloto;0,166666667;1;0,142857143;0,125;0,166666667
03FN24;Jardín Botánico;8;7;0,125;5;1
03FN24;Parque Explora;9;8;1;1;1
03FN24;Planetario;5;6;1;1;1
03FN25;Museo de Antioquia;1;1;0,111111111;1;0,142857143
03FN25;Biblioteca Pública Piloto;1;1;0,333333333;3;0,142857143
03FN25;Jardín Botánico;9;3;1;4;1
03FN25;Parque Explora;1;0,333333333;0,25;1;0,333333333
03FN25;Planetario;7;7;1;3;1
04FN01;Museo de Antioquia;1;5;3;5;5
04FN01;Biblioteca Pública Piloto;0,2;1;5;5;5
04FN01;Jardín Botánico;0,333333333;0,2;1;3;5
04FN01;Parque Explora;0,2;0,2;0,333333333;1;1
04FN01;Planetario;0,2;0,2;0,2;1;1
04FN02;Museo de Antioquia;1;3;3;3;5
04FN02;Biblioteca Pública Piloto;0,333333333;1;5;5;5
04FN02;Jardín Botánico;0,333333333;0,2;1;3;3
04FN02;Parque Explora;0,333333333;0,2;0,333333333;1;1
04FN02;Planetario;0,2;0,2;0,333333333;1;1
04FN03;Museo de Antioquia;1;1;3;3;3
04FN03;Biblioteca Pública Piloto;1;1;3;5;5
04FN03;Jardín Botánico;0,333333333;0,333333333;1;3;3
04FN03;Parque Explora;0,333333333;0,2;0,333333333;1;1
04FN03;Planetario;0,333333333;0,2;0,333333333;1;1
04FN04;Museo de Antioquia;1;3;5;5;5
04FN04;Biblioteca Pública Piloto;0,333333333;1;5;5;7
04FN04;Jardín Botánico;0,2;0,2;1;1;1
04FN04;Parque Explora;0,2;0,2;1;1;3
04FN04;Planetario;0,2;0,142857143;1;0,333333333;1
04FN05;Museo de Antioquia;1;3;1;3;5
04FN05;Biblioteca Pública Piloto;0,333333333;1;5;5;3
04FN05;Jardín Botánico;1;0,2;1;1;3
04FN05;Parque Explora;0,333333333;0,2;1;1;0,333333333
04FN05;Planetario;0,2;0,333333333;0,333333333;3;1
04FN06;Museo de Antioquia;1;3;5;3;3
04FN06;Biblioteca Pública Piloto;0,333333333;1;7;7;7
04FN06;Jardín Botánico;0,2;0,142857143;1;3;3
04FN06;Parque Explora;0,333333333;0,142857143;0,333333333;1;1
04FN06;Planetario;0,333333333;0,142857143;0,333333333;1;1
04FN07;Museo de Antioquia;1;1;3;5;3
04FN07;Biblioteca Pública Piloto;1;1;5;5;5
04FN07;Jardín Botánico;0,333333333;0,2;1;3;5
04FN07;Parque Explora;0,2;0,2;0,333333333;1;3
04FN07;Planetario;0,333333333;0,2;0,2;0,333333333;1
04IN08;Museo de Antioquia;1;1;3;5;3
04IN08;Biblioteca Pública Piloto;1;1;5;5;5
04IN08;Jardín Botánico;0,333333333;0,2;1;3;5
04IN08;Parque Explora;0,2;0,2;0,333333333;1;3
04IN08;Planetario;0,333333333;0,2;0,2;0,333333333;1
04IN09;Museo de Antioquia;1;3;5;5;5
04IN09;Biblioteca Pública Piloto;0,333333333;1;5;7;5
04IN09;Jardín Botánico;0,2;0,2;1;3;3
04IN09;Parque Explora;0,2;0,142857143;0,333333333;1;5
04IN09;Planetario;0,2;0,2;0,333333333;0,2;1
04IN10;Museo de Antioquia;1;3;5;5;5
